baseline_owner_module	baseline_declaration_name	visibility	kind	projection_order	source_ordinal	destination_module	route_class	normalization_decision
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment	private	definition	18	1	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionCoefficientMoment
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment_gram	private	theorem	19	8	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionCoefficientMoment_gram
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment_smul	private	theorem	20	9	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionCoefficientMoment_smul
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment_truncated	private	theorem	21	6	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionCoefficientMoment_truncated
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionExceptionalCore	private	definition	22	22	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionExceptionalCore
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionExceptionalCore_charpoly	private	theorem	23	24	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionExceptionalCore_charpoly
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionGramFormula_mulVec_apply	private	theorem	24	2	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionGramFormula_mulVec_apply
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionGram_sub_one_eq_rankTwo	private	theorem	25	15	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionGram_sub_one_eq_rankTwo
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionLastBasis	private	definition	26	14	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionLastBasis
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionLastBasis_mul_sum	private	theorem	27	21	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionLastBasis_mul_sum
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionRankTwoLeft	private	definition	28	17	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionRankTwoLeft
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionRankTwoLeft_mul_right	private	theorem	29	19	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionRankTwoLeft_mul_right
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionRankTwoRight	private	definition	30	18	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionRankTwoRight
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients	private	definition	31	0	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionReverseCoefficients
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients_last	private	theorem	32	5	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionReverseCoefficients_last
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients_norm_sq_sum	private	theorem	33	3	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionReverseCoefficients_norm_sq_sum
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients_star_sum	private	theorem	34	7	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionReverseCoefficients_star_sum
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_alpha_sub_two_le_exceptional_sqrt	private	theorem	35	29	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companion_alpha_sub_two_le_exceptional_sqrt
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_norm_sq_complex	private	theorem	36	10	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companion_norm_sq_complex
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_normal_higher_a0_unit	private	theorem	37	42	NumStability.Source.Higham.Chapter28.Section06.Companion.Normality	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Normality.0.NumStability.companion_normal_higher_a0_unit
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_normal_higher_coeff_vanish	private	theorem	38	43	NumStability.Source.Higham.Chapter28.Section06.Companion.Normality	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Normality.0.NumStability.companion_normal_higher_coeff_vanish
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_normal_higher_last_coeff_vanish	private	theorem	39	44	NumStability.Source.Higham.Chapter28.Section06.Companion.Normality	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Normality.0.NumStability.companion_normal_higher_last_coeff_vanish
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_two_sub_alpha_le_exceptional_sqrt	private	theorem	40	28	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companion_two_sub_alpha_le_exceptional_sqrt
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.fin_add_one_lt_iff_ne_last	private	theorem	41	4	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.fin_add_one_lt_iff_ne_last
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.matrix_rank_add_le	private	theorem	42	13	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.matrix_rank_add_le
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.matrix_sub_scalar_neg_one_eq_one_add	private	theorem	43	25	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.matrix_sub_scalar_neg_one_eq_one_add
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.one_add_companionRankTwoRight_mul_left	private	theorem	44	23	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.one_add_companionRankTwoRight_mul_left
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.sum_mul_companionLastBasis	private	theorem	45	20	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	relocate_split	rename:_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.sum_mul_companionLastBasis
NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.companionMatrix_sub_scalar_rank_ge	public	theorem	0	15	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.companion_hasLeftCyclicVector	public	theorem	1	13	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.companion_transpose_krylov_eq_reverseBasis	public	theorem	2	11	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.companion_transpose_krylov_linearIndependent	public	theorem	3	12	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.higham9_sineMatrix_isOrthogonal	public	theorem	4	7	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.symmetricToeplitz_orthogonal_diagonalization	public	theorem	5	8	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	relocate_split	-
NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.symmetricToeplitz_scaled_sine_eigenpair	public	theorem	6	6	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	relocate_split	-
