destination_module	referenced_owner_module	signature_edge_count	body_edge_count	recursive_frontier_direct	post_r0009_supply
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.ScaledStage	0	1	1	direct
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	NumStability.Algorithms.LinearSystems.Cholesky.RoundedFactorization.Basic	2	3	0	transitive
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	NumStability.Analysis.Rounding	2	2	1	direct
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	NumStability.FloatingPoint.Model	1	1	1	direct
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.KahanTelescope.Identity	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.KahanMatrix	1	1	1	direct
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.PivotedFactorization.Existence	NumStability.Algorithms.LU.GaussianElimination	1	1	1	direct
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.PivotedFactorization.Existence	NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	0	4	0	transitive
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.PivotedFactorization.Existence	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.Basic	1	2	1	direct
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.StageEmbedding.InteriorMass	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.ScaledStage	0	1	1	direct
NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	NumStability.Analysis.MatrixAlgebra	3	11	0	transitive
NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	NumStability.Analysis.MatrixNorms.EntrywiseAbsolute.Basic	0	1	1	direct
NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	NumStability.Analysis.MatrixNorms.SpectralExtrema.Basic	3	8	1	direct
NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	NumStability.Analysis.MatrixSpectral	0	6	1	direct
NumStability.Source.Higham.Chapter06.Lemma06.Core.Results	NumStability.Analysis.MatrixNorms.Basic	18	18	0	transitive
NumStability.Source.Higham.Chapter06.Lemma06.Core.Results	NumStability.Analysis.MatrixNorms.Comparisons	0	2	1	direct
NumStability.Source.Higham.Chapter06.Lemma06.Core.Results	NumStability.Analysis.SingularValues.Basic	8	11	0	transitive
NumStability.Source.Higham.Chapter06.Lemma06.Core.Results	NumStability.Analysis.VectorNorms.Basic	0	1	0	transitive
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Algorithms.LU.GaussianElimination	3	6	1	direct
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.Certificates	0	1	1	direct
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Algorithms.LinearSystems.Cholesky.Perturbation.Basic	0	4	1	direct
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Algorithms.LinearSystems.LU.NonsymmetricPositiveDefinite.Basic	5	8	0	transitive
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Algorithms.LinearSystems.SymmetricIndefinite.Pivoting.Basic	1	2	0	transitive
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Analysis.MatrixAlgebra	13	40	0	transitive
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Analysis.MatrixNorms.SpectralExtrema.Basic	0	2	1	direct
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.FloatingPoint.Model	2	4	1	direct
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Source.Higham.Chapter10.Equation29.Mathias.SourceIngredients	4	21	1	direct
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Source.Higham.Chapter10.Section02.ErrorAnalysis.Basic	5	5	1	direct
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.Endpoints	0	6	1	direct
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.Equation29	2	4	1	direct
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	NumStability.Algorithms.LU.GaussianElimination	16	13	1	direct
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	NumStability.Algorithms.LinearSystems.LU.BlockLU.PositiveDefinite	0	11	0	transitive
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	NumStability.Analysis.ComplexArithmetic	0	15	1	direct
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	NumStability.Analysis.Rounding	6	6	1	direct
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	NumStability.FloatingPoint.Model	3	24	1	direct
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	NumStability.Source.Higham.Chapter09.Section04	14	25	1	direct
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	NumStability.Source.Higham.Chapter09.Section11	2	5	1	direct
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.Endpoints	16	21	1	direct
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.SourceClosure	16	42	1	direct
