owner_module	path	base_blob_oid	baseline_declaration_name	ilean_path	ilean_sha256	ilean_root	source_ordinal	start_line_0	start_column_0	end_line_0	end_column_0	selection_start_line_0	selection_start_column_0	selection_end_line_0	selection_end_column_0	command_sha256
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrix_commute_projection_of_commute_reflection	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrix_commute_projection_of_commute_reflection	79	1229	0	1260	38	1231	8	1231	60	B8BB941B902A94775EA0F0EF7F5A99174E18E7923029F4BDCECFEACDBA406E5E
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPairRangeReflection	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPairRangeReflection	80	1262	0	1266	76	1263	18	1263	54	82C34DABF9D8984A9EC48049C08FEA0FD6855915F23AB64FCF8013BA4594F517
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPairRangeReflection_isSelfAdjoint	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPairRangeReflection_isSelfAdjoint	81	1268	0	1275	60	1269	8	1269	58	8625C766CBE7161A3D03DCBE2D2C186C60CE0B84453C71BB993B572531C05122
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPairRangeReflection_mul_self_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPairRangeReflection_mul_self_of_sum	82	1277	0	1287	62	1278	8	1278	60	4AE23AA16D19F39A31F49342026D5E543D2EF4B711AC07AEBC1061BCC0DDFAFA
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPairRangeReflection_isUnit_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPairRangeReflection_isUnit_of_sum	83	1289	0	1297	62	1290	8	1290	58	55ED02956786AF4909A803E2CE23CB1B98F95D2FBCA393DA305FC97ABB82D498
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPairRangeReflection_mem_unitary_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPairRangeReflection_mem_unitary_of_sum	84	1299	0	1310	64	1300	8	1300	63	7E242E15E226E7B11AF2D399D10DEDAC3963FBC4C35796BAE8D91AE08E972D95
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPairRangeReflection_mul_columnPair_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPairRangeReflection_mul_columnPair_of_sum	85	1312	0	1324	68	1314	8	1314	66	6CC978B91F1B8369DA37A377C681E63AD53702E9705268B5CC71A1C4ECFE2B8A
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPair_conjTranspose_mul_rangeReflection_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPair_conjTranspose_mul_rangeReflection_of_sum	86	1326	0	1338	72	1328	8	1328	70	248513B20EDF48142D06F73C07536A7166B433AA2D2969607440FB3786FA025E
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPair_reflectionAverage_compression_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPair_reflectionAverage_compression_of_sum	87	1340	0	1360	68	1343	8	1343	66	B5C628A1E19E7190C1E54C46034345F11C44BDED0C51480048500BF8981124B9
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean	6d045defdcc5f7b06c29ac8247897dec34543e25	NumStability.cstarMatrixColumnPair_reflectionAverage_conj_rangeReflection_of_sum	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.ilean	41337D518E55224543901E46916B347DBA0B3A384034D240C49FFBCEA689B28B	NumStability.cstarMatrixColumnPair_reflectionAverage_conj_rangeReflection_of_sum	88	1362	0	1379	62	1364	8	1364	75	0FBF0DFD40641140342CCC9539D01F6A2E3EF83C2F276E1E825A545C98E506C5
