consumer_module	consumer_path	consumer_scope	old_import	new_import
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowth	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowth.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowthArithmetic	NumStability.Source.Higham.Chapter11.BunchKaufman.Exact.GrowthArithmetic
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowth	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowth.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability.Source.Higham.Chapter11.BunchKaufman.Exact.Trace
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowth	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowth.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedAccumulated	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Accumulated
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowth	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowth.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedClosure	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Closure
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowth	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowth.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Execution
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowth	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowth.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedFactors	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Factors
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowth	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowth.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGlobal	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Global
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowth	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowth.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedGrowth	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Growth
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowthArithmetic	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowthArithmetic.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanActualSelector	NumStability.Source.Higham.Chapter11.BunchKaufman.ActualSelector
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowthArithmetic	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowthArithmetic.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability.Source.Higham.Chapter11.BunchKaufman.Exact.Trace
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactGrowthArithmetic	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactGrowthArithmetic.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanRoundedExecution	NumStability.Source.Higham.Chapter11.BunchKaufman.Rounded.Execution
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactTrace.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchExactTrace	NumStability.Source.Higham.Chapter11.Bunch.ExactTrace
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExactTrace.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanActualSelector	NumStability.Source.Higham.Chapter11.BunchKaufman.ActualSelector
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanActualSelector	NumStability.Source.Higham.Chapter11.BunchKaufman.ActualSelector
NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExplicitInverseSolve	NumStability/Source/Higham/Chapter11/Higham11BunchKaufmanExplicitInverseSolve.lean	in_wave	NumStability.Source.Higham.Chapter11.Higham11BunchKaufmanExactTrace	NumStability.Source.Higham.Chapter11.BunchKaufman.Exact.Trace
