record_kind	direction	consumer_module	consumer_path	consumer_scope	consumer_wave	target_wave	target_owner	relation	edge_kind	source_declaration	targets	witness	details
owner_reachability	R03->R07	NumStability.Algorithms.Higham726Rump	NumStability/Algorithms/Higham726Rump.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.Higham726Rump -> NumStability.Algorithms.HighamChapters1To9SourceClosure -> NumStability.Source.Higham.Chapter08.Equation14.FanInProduct.Basic -> NumStability.Source.Higham.Chapter08.Section04.FanInCore.AllOrdersEnvelope -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=8
owner_reachability	R03->R07	NumStability.Algorithms.HighamChapter8	NumStability/Algorithms/HighamChapter8.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.HighamChapter8 -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=6
owner_reachability	R03->R07	NumStability.Algorithms.HighamChapters1To9SourceClosure	NumStability/Algorithms/HighamChapters1To9SourceClosure.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.HighamChapters1To9SourceClosure -> NumStability.Source.Higham.Chapter08.Equation14.FanInProduct.Basic -> NumStability.Source.Higham.Chapter08.Section04.FanInCore.AllOrdersEnvelope -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=7
owner_reachability	R03->R07	NumStability.Algorithms.Horner	NumStability/Algorithms/Horner.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.Horner -> NumStability.Algorithms.PolynomialEvaluation.MatrixNorms -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=7
owner_reachability	R03->R07	NumStability.Algorithms.KahanAbsolute	NumStability/Algorithms/KahanAbsolute.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.KahanAbsolute -> NumStability.Analysis.InstabilityWithoutCancellation -> NumStability.Algorithms.LU.GaussianElimination -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=8
owner_reachability	R03->R07	NumStability.Algorithms.LU.Doolittle	NumStability/Algorithms/LU/Doolittle.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.LU.Doolittle -> NumStability.Algorithms.LU.GaussianElimination -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=7
owner_reachability	R03->R07	NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	NumStability/Algorithms/LinearSystems/IterativeRefinement/Core.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.LinearSystems.IterativeRefinement.Core -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=4
owner_reachability	R03->R07	NumStability.Algorithms.LinearSystems.LU.Doolittle.BackwardError	NumStability/Algorithms/LinearSystems/LU/Doolittle/BackwardError.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.LinearSystems.LU.Doolittle.BackwardError -> NumStability.Algorithms.LU.GaussianElimination -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=7
owner_reachability	R03->R07	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	NumStability/Algorithms/LinearSystems/LU/Doolittle/Basic.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic -> NumStability.Algorithms.LU.GaussianElimination -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=7
owner_reachability	R03->R07	NumStability.Algorithms.LinearSystems.LU.Doolittle.Budgets	NumStability/Algorithms/LinearSystems/LU/Doolittle/Budgets.lean	in_scope	R03	R07	NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	transitive				NumStability.Algorithms.LinearSystems.LU.Doolittle.Budgets -> NumStability.Algorithms.LU.GaussianElimination -> NumStability.Algorithms.MatMul -> NumStability.Algorithms.MatVec -> NumStability.Algorithms.DotProduct -> NumStability.Analysis.Error.RoundingProducts.Core -> NumStability.Analysis.MatrixInequalities.LiebTrace.Concavity -> NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	distance=7
