format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.Higham21ConcreteGivensReplayStep.p	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.q	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.rec	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	recursor	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.recOn	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.source_ne	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	theorem	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.stored	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep.stored	30
NumStability.Higham21ConcreteGivensReplayStep.xi	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21ConcreteGivensReplayStep.xj	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21ConcreteGivensReplayStep	18
NumStability.Higham21FixedAccumulationRoundedRowwiseCoefficient	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21FixedAccumulationRoundedRowwiseCoefficient	91
NumStability.Higham21FixedAccumulationRoundedRowwiseCoefficient_nonneg	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	theorem	public	NumStability.Higham21FixedAccumulationRoundedRowwiseCoefficient_nonneg	106
NumStability.Higham21GivensActualReplayEtaQ	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	relocate_reusable	definition	public	NumStability.Higham21GivensActualReplayEtaQ	900
NumStability.Higham21GivensActualReplayEtaQ_lt_one_of_operational_gammaValid	NumStability.Algorithms.Underdetermined.Higham21Theorem214SourceClosure	NumStability.Source.Higham.Chapter21.Theorem04.SourceClosure.SourceClosure	relocate_source	theorem	public	NumStability.Higham21GivensActualReplayEtaQ_lt_one_of_operational_gammaValid	316
NumStability.Higham21GivensActualRoundedRowwiseCoefficient	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Source.Higham.Chapter21.Theorem04.GivensQMethod.Closure	relocate_source	definition	public	NumStability.Higham21GivensActualRoundedRowwiseCoefficient	958
NumStability.Higham21GivensFixedAccumulationCertificate	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	inductive	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.Q_hat	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
NumStability.Higham21GivensFixedAccumulationCertificate.casesOn	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.RoundedReplay	relocate_reusable	definition	public	NumStability.Higham21GivensFixedAccumulationCertificate	45
