declaration	owner	reason
NumStability.companionSquaredSingularValues_count_one_eq_sub_two	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.companionSquaredSingularValues_eq_one_or_eq_plus_or_eq_minus	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.companionSquaredSingularValues_eq_one_or_exceptional	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.companionSquaredSingularValues_multiset_eq	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.companion_conjTranspose_mul_self_charpoly	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.companion_conjTranspose_mul_self_charpoly_linearFactors	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.companion_conjTranspose_mul_self_eigenvalue_eq_one_or_exceptional	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.companion_conjTranspose_mul_self_roots_charpoly	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.companion_conjTranspose_mul_self_sub_one_rank_le_two	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.companion_hasLeftCyclicVector	NumStability.Algorithms.TestMatrices.Higham28Contracts	in the pinned reverse closure
NumStability.companion_orderAtLeastThree_isStarNormal_iff	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.companion_transpose_krylov_eq_reverseBasis	NumStability.Algorithms.TestMatrices.Higham28Contracts	in the pinned reverse closure
NumStability.companion_transpose_krylov_linearIndependent	NumStability.Algorithms.TestMatrices.Higham28Contracts	in the pinned reverse closure
NumStability.complexSymmetricToeplitz_sine_eigenpair	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	in the pinned reverse closure
NumStability.complexTridiagonalToeplitz_p522_unrestricted_charpoly	NumStability.Algorithms.TestMatrices.Higham28ToeplitzSpectrum	in the pinned reverse closure
NumStability.complexUpperEigenvalueCount_eq	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	in the pinned reverse closure
NumStability.complexUpperEigenvalueCount_le	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	in the pinned reverse closure
NumStability.compoundMatrix_pascal_mul_leadingPlucker	NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	consumes retained material (command-level closure)
NumStability.compoundMatrix_pascal_pos	NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	in the pinned reverse closure
NumStability.continuous_ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	in the pinned reverse closure
NumStability.differentiable_ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	in the pinned reverse closure
NumStability.diracIdentity_isNormalizedOrthogonalHaarLaw_zero	NumStability.Algorithms.TestMatrices.Higham28Probability	consumes retained material (command-level closure)
NumStability.expectedGinibreAlternatingCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	consumes retained material (command-level closure)
NumStability.expectedGinibreAlternatingCount_add_two	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.expectedGinibreAlternatingCount_eq_dimension	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.expectedGinibreAlternatingPairCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	consumes retained material (command-level closure)
NumStability.expectedGinibreAlternatingPairCount_one	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.expectedGinibreAlternatingPairCount_succ_eq_factor_mul_oneRootMoment	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	in the pinned reverse closure
NumStability.expectedRealEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28Probability	consumes retained material (command-level closure)
NumStability.expectedRealEigenvalueCount_eq_alternating_sub_two_pairs	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.expectedRealEigenvalueCount_eq_closedForm_one	NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	in the pinned reverse closure
NumStability.expectedRealEigenvalueCount_eq_closedForm_two	NumStability.Algorithms.TestMatrices.Higham28GinibreDimensionTwo	in the pinned reverse closure
NumStability.expectedRealEigenvalueCount_eq_lebesgue	NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	consumes retained material (command-level closure)
NumStability.expectedRealEigenvalueCount_one	NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	consumes retained material (command-level closure)
NumStability.expectedRealEigenvalueCount_shift_eq_neg_two_mul_pair_shift	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.expectedRealEigenvalueCount_succ_eq_corollary31Factor_mul_moment	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	in the pinned reverse closure
NumStability.expectedRealEigenvalueCount_two	NumStability.Algorithms.TestMatrices.Higham28GinibreDimensionTwo	consumes retained material (command-level closure)
NumStability.fderiv_ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	in the pinned reverse closure
NumStability.gaussianColumnMatrixMeasureOfScale_det_ne_zero_ae	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.gaussianColumnMatrixMeasure_det_ne_zero_ae	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.gaussianQRQLawOfScale_eq_normalizedOrthogonalHaar	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.gaussianQRQLawOfScale_isProbabilityMeasure	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.gaussianQRQLaw_eq_normalizedOrthogonalHaar	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.gaussianQRQLaw_isHaarMeasure	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.gaussianQRQLaw_isMulLeftInvariant	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.gaussianQRQLaw_isProbabilityMeasure	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.gaussianQRQ_orthogonalLeftMul_ae	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.gaussianZeroPow_mul_integral_ginibreProjectiveWeight	NumStability.Algorithms.TestMatrices.Higham28GinibreCorollary31Factor	in the pinned reverse closure
NumStability.generalToeplitzSineVector_ne_zero	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	in the pinned reverse closure
NumStability.generalToeplitz_complex_sine_eigenpair_of_super_ne_zero	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	in the pinned reverse closure
NumStability.generalToeplitz_sine_eigenpair	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	in the pinned reverse closure
NumStability.generalToeplitz_unrestricted_complex_eigenpair	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	in the pinned reverse closure
NumStability.ginibreAlternatingEigenvalueCount_eq_dimension	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.ginibreComplexPairsMeasurableSpace	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	file-scoped local ambient declaration
NumStability.ginibreCorollary31Factor_mul_increment_eq_closedForm_shift	NumStability.Algorithms.TestMatrices.Higham28GinibreExpectationGlue	in the pinned reverse closure
NumStability.ginibreDeterminantMomentMeasurableSpace	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantMoment	file-scoped local ambient declaration
NumStability.ginibreDeterminantMomentSigmaFinite	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantMoment	file-scoped local ambient declaration
NumStability.ginibreHypergeometricTerm_two_eq_binomialTail	NumStability.Algorithms.TestMatrices.Higham28GinibreParity	in the pinned reverse closure
NumStability.ginibreIncidenceLebesgueMeasure_eq_volume	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	in the pinned reverse closure
