declaration	owner	reason
NumStability.integral_realGinibre_characteristicProduct_complex	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_realGinibre_characteristicProduct_complex_eq_sum_fixedPoints	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_realGinibre_characteristicProduct_conj	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_realGinibre_characteristicProduct_eq_kernel	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedScalar	in the pinned reverse closure
NumStability.integral_realGinibre_characteristicProduct_eq_sum_fixedPoints	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_realGinibre_coordinateProduct	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_realGinibre_coordinateProduct_complex	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_realGinibre_det_mul_alternatingBelow_eq_factor_mul_slice	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	in the pinned reverse closure
NumStability.integral_realGinibre_det_sq	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_realGinibre_det_sub_smul_one_mul_det_sub_smul_one	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	in the pinned reverse closure
NumStability.integral_realGinibre_eq_incidenceCoordinateDensity	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	consumes retained material (command-level closure)
NumStability.integral_realGinibre_ginibrePlaneSylvesterOperator_det	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	in the pinned reverse closure
NumStability.integral_realGinibre_prod_gaussian_eq_jointDensity	NumStability.Algorithms.TestMatrices.Higham28GinibreJointDensity	in the pinned reverse closure
NumStability.isSimilar_companion_rank_sub_scalar_ge	NumStability.Algorithms.TestMatrices.Higham28Companion	in the pinned reverse closure
NumStability.lintegral_ginibreCoordinate_rootCount_density_eq_expected	NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge	consumes retained material (command-level closure)
NumStability.lintegral_ginibreFixedFiber	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	in the pinned reverse closure
NumStability.lintegral_ginibreFixedFiber_of_orthogonal	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	in the pinned reverse closure
NumStability.lintegral_ginibreIncidence_gaussian_eq_corollary31Factor_mul_momentLIntegral	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	in the pinned reverse closure
NumStability.lintegral_ginibreIncidence_gaussian_eq_expected	NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge	in the pinned reverse closure
NumStability.lintegral_ginibreIncidence_gaussian_eq_rootCount	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantIntegral	in the pinned reverse closure
NumStability.lintegral_ginibreIncidence_rankPiece_eq_image	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	in the pinned reverse closure
NumStability.lintegral_ginibreIncidence_regular_eq_rootCount	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	in the pinned reverse closure
NumStability.lintegral_ginibreIncidence_regular_eq_sum_rank_images	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	in the pinned reverse closure
NumStability.lintegral_ginibreOrthogonalBlockDensity	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	in the pinned reverse closure
NumStability.log_hilbert_det_eq_sum	NumStability.Algorithms.TestMatrices.Higham28HilbertAsymptotic	in the pinned reverse closure
NumStability.measurableSet_complexRootTupleBelowCountSet	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.measurableSet_complexRootTupleCountSet	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.measurableSet_ginibreIncidenceRankImage	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	in the pinned reverse closure
NumStability.measurableSet_ginibreIncidenceRankPiece	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	consumes retained material (command-level closure)
NumStability.measurableSet_ginibreIncidenceRankPieceBelow	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	consumes retained material (command-level closure)
NumStability.measurableSet_ginibreIncidenceRankPieceBelow_image	NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence	in the pinned reverse closure
NumStability.measurableSet_ginibreIncidenceRegularSet	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	consumes retained material (command-level closure)
NumStability.measurableSet_realEigenvalueBelowCount_level	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.measurableSet_realEigenvalueCount_level	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.measurableSet_realGinibreTwoNonnegativeDiscriminantSet	NumStability.Algorithms.TestMatrices.Higham28GinibreDimensionTwo	consumes retained material (command-level closure)
NumStability.measurable_abs_det_ginibreShift	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.measurable_abs_det_ginibreShiftReal	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.measurable_abs_det_matrix	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.measurable_abs_det_matrixReal	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.measurable_complexTupleRealBelowCount	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.measurable_complexTupleRealCount	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.measurable_complexUpperEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	in the pinned reverse closure
NumStability.measurable_complexUpperEigenvalueCount_real	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	in the pinned reverse closure
NumStability.measurable_gaussianQRQ	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.measurable_gaussianQRQMatrix	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.measurable_ginibreAbsDetTwoEntryVector	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	in the pinned reverse closure
NumStability.measurable_ginibreAlternatingEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.measurable_ginibreAlternatingPairEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.measurable_ginibreCoordinatesFinMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	consumes retained material (command-level closure)
NumStability.measurable_ginibreIncidenceChart	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	consumes retained material (command-level closure)
NumStability.measurable_ginibreIncidenceEigenvalue	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	consumes retained material (command-level closure)
NumStability.measurable_ginibreIncidenceRootRank	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	consumes retained material (command-level closure)
NumStability.measurable_ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	in the pinned reverse closure
NumStability.measurable_ginibreShiftShear	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.measurable_ginibreTraceCorrelatedDensityReal	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.measurable_ginibreTwoEntryVector	NumStability.Algorithms.TestMatrices.Higham28GinibreDimensionTwo	consumes retained material (command-level closure)
NumStability.measurable_ginibreUnshiftShear	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.measurable_matMul_of_measurable	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.measurable_matrixListProduct_eval	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.measurable_modifiedGramSchmidtQ	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	in the pinned reverse closure
NumStability.measurable_orthogonalHaarFiberProducer	NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	consumes retained material (command-level closure)
NumStability.measurable_realEigenvalueBelowCount	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.measurable_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.measurable_realEigenvalueCount_real	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	consumes retained material (command-level closure)
NumStability.measurable_realGinibreDensityReal	NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	consumes retained material (command-level closure)
NumStability.measurable_stewartEmbeddedHouseholder	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.measurable_stewartFirstSection	NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	consumes retained material (command-level closure)
NumStability.measurable_stewartFirstSectionMatrix	NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	consumes retained material (command-level closure)
NumStability.measurable_stewartGaussianFiberProducer	NumStability.Algorithms.TestMatrices.Higham28StewartRecursion	consumes retained material (command-level closure)
NumStability.measurable_stewartHouseholderGroupOutput	NumStability.Algorithms.TestMatrices.Higham28StewartRecursion	consumes retained material (command-level closure)
NumStability.measurable_stewartHouseholderListProduct	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.measurable_stewartOrthogonalGroupOutput	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.measurable_stewartOrthogonalMatrix	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.measurable_stewartRawFiberProducer	NumStability.Algorithms.TestMatrices.Higham28StewartRawFiber	consumes retained material (command-level closure)
NumStability.measurable_stewartSignDiagonal	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.measurable_stewartSphereSection	NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	consumes retained material (command-level closure)
NumStability.measurable_stewartTailRotateVector	NumStability.Algorithms.TestMatrices.Higham28StewartRecursion	consumes retained material (command-level closure)
NumStability.measurable_stewartTailRotation	NumStability.Algorithms.TestMatrices.Higham28StewartRecursion	consumes retained material (command-level closure)
NumStability.measurePreserving_ginibreAbsDetTwoEntryVector	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	in the pinned reverse closure
NumStability.measurePreserving_ginibreNuisanceReorder	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	in the pinned reverse closure
NumStability.measurePreserving_ginibreShiftShear	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.measure_ginibreIncidence_criticalImage_eq_zero	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	consumes retained material (command-level closure)
NumStability.mem_ginibreIncidenceRankImage_iff_lt_rootCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	in the pinned reverse closure
NumStability.mem_ginibreIncidenceRankPieceBelow_image_iff_lt_belowCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	in the pinned reverse closure
NumStability.natCast_eq_alternating_sub_two_pairs	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	in the pinned reverse closure
NumStability.neg_one_pow_rootRank_mul_abs_det	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	in the pinned reverse closure
NumStability.neg_two_mul_corollary31_product_mul_signedMoment_eq_closedForm_shift	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedConclusion	in the pinned reverse closure
NumStability.ofReal_expectedRealEigenvalueCount_succ_eq_corollary31Factor_mul_momentLIntegral	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	in the pinned reverse closure
NumStability.one_le_companionExceptionalSquaredSingularValuePlus	NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	in the pinned reverse closure
NumStability.opNorm2_hilbertInverseFormula_log_rate	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	in the pinned reverse closure
NumStability.opNorm2_hilbertMatrix_log_rate_zero	NumStability.Algorithms.TestMatrices.Higham28HilbertCondition	in the pinned reverse closure
NumStability.opNorm2_pascalInverseMatrix_eq_inv_smallestEigenvalue	NumStability.Algorithms.TestMatrices.Higham28PascalSpectral	in the pinned reverse closure
NumStability.opNorm2_pascalOptimalSingularizingPerturbation	NumStability.Algorithms.TestMatrices.Higham28PascalSpectral	in the pinned reverse closure
NumStability.opNorm2_secondDifferenceInverse_eq	NumStability.Algorithms.TestMatrices.Higham28ToeplitzCondition	in the pinned reverse closure
NumStability.opNorm2_secondDifference_eq	NumStability.Algorithms.TestMatrices.Higham28ToeplitzCondition	in the pinned reverse closure
NumStability.orthogonalHaarFiberMeasure_eq_normalizedHaar	NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	consumes retained material (command-level closure)
NumStability.orthogonalHaarFiberMeasure_firstRow	NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	consumes retained material (command-level closure)
NumStability.orthogonalHaarFiberMeasure_isProbabilityMeasure	NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	consumes retained material (command-level closure)
NumStability.orthogonalHaarFiberMeasure_left_invariant	NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	consumes retained material (command-level closure)
NumStability.pascalIdentityCubeRootCandidate_cube	NumStability.Algorithms.TestMatrices.Higham28Pascal	in the pinned reverse closure
NumStability.pascalLower_initial_minor_pos	NumStability.Algorithms.TestMatrices.Higham28PascalTotalPositivity	in the pinned reverse closure
NumStability.pascalMatrix_eq_intervalMomentMatrix	NumStability.Algorithms.TestMatrices.Higham28Moments	in the pinned reverse closure
NumStability.pascalMatrix_isStrictlyTotallyPositive	NumStability.Algorithms.TestMatrices.Higham28PascalTotalPositivity	in the pinned reverse closure
NumStability.pascalMatrix_mul_sortedEigenvectorMatrix	NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	consumes retained material (command-level closure)
NumStability.pascalMatrix_quadraticForm	NumStability.Algorithms.TestMatrices.Higham28Moments	in the pinned reverse closure
NumStability.pascalMoment_integral	NumStability.Algorithms.TestMatrices.Higham28Moments	in the pinned reverse closure
NumStability.pascalOptimalPerturbation_is_operator2_minimal	NumStability.Algorithms.TestMatrices.Higham28PascalSpectral	in the pinned reverse closure
NumStability.pascalOptimalPerturbation_log_rate	NumStability.Algorithms.TestMatrices.Higham28PascalCondition	in the pinned reverse closure
NumStability.pascalOscillation_compoundMatrix_pascal_mul_sortedEigenvectorMatrix	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	consumes retained material (command-level closure)
NumStability.pascalOscillation_compoundMatrix_pascal_mul_sortedPlucker	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	consumes retained material (command-level closure)
NumStability.pascalOscillation_compoundSortedCoefficient_eigen	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	consumes retained material (command-level closure)
NumStability.pascalOscillation_pascalLeadingPlucker_same_sign	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	in the pinned reverse closure
NumStability.pascalOscillation_pascalSortedEigenvalue_strictAdjacent	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	in the pinned reverse closure
NumStability.pascalSortedEigenbasis_apply	NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	consumes retained material (command-level closure)
NumStability.pascalSortedEigenvalue_strictAnti	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	in the pinned reverse closure
NumStability.pascalSortedEigenvectorMatrix_apply	NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	consumes retained material (command-level closure)
NumStability.pascalSortedEigenvector_hasExactlySignChanges	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationExact	in the pinned reverse closure
NumStability.pascalSortedEigenvector_signChangeCount_ge	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationExact	in the pinned reverse closure
NumStability.pascalSortedEigenvector_signChangeCount_le	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	in the pinned reverse closure
NumStability.pascal_circleAverage	NumStability.Algorithms.TestMatrices.Higham28Moments	in the pinned reverse closure
NumStability.pascal_circleMoment	NumStability.Algorithms.TestMatrices.Higham28Moments	in the pinned reverse closure
NumStability.pascal_circleMoment_normalized	NumStability.Algorithms.TestMatrices.Higham28Moments	in the pinned reverse closure
NumStability.pascal_singularizing_perturbation_norm_lower_bound	NumStability.Algorithms.TestMatrices.Higham28PascalSpectral	in the pinned reverse closure
NumStability.realEigenvalueCount_add_two_mul_complexUpperEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	in the pinned reverse closure
NumStability.realEigenvalueCount_cast_eq_alternating_sub_two_pairs	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	in the pinned reverse closure
NumStability.realGinibreAbsoluteCharacteristicMoment	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantMoment	consumes retained material (command-level closure)
NumStability.realGinibreAbsoluteCharacteristicMomentLIntegral	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	consumes retained material (command-level closure)
NumStability.realGinibreAbsoluteCharacteristicMomentLIntegral_eq_jointDensity	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.realGinibreAbsoluteCharacteristicMomentLIntegral_eq_shiftedJointDensity	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.realGinibreAbsoluteCharacteristicMomentLIntegral_eq_traceDensity	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.realGinibreAbsoluteCharacteristicMoment_eq_toReal_lintegral	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.realGinibreAbsoluteCharacteristicMoment_eq_traceDensityIntegral	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	in the pinned reverse closure
NumStability.realGinibreAbsoluteCharacteristicMoment_one	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantMoment	consumes retained material (command-level closure)
NumStability.realGinibreAbsoluteCharacteristicMoment_two_eq_normalFormIntegral	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	in the pinned reverse closure
NumStability.realGinibreAbsoluteCharacteristicMoment_zero	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantMoment	consumes retained material (command-level closure)
NumStability.realGinibreExpectedCountClosedForm_even_finiteSum	NumStability.Algorithms.TestMatrices.Higham28GinibreParity	in the pinned reverse closure
NumStability.realGinibreExpectedCountClosedForm_even_gammaSum	NumStability.Algorithms.TestMatrices.Higham28GinibreParity	in the pinned reverse closure
NumStability.realGinibreExpectedCountClosedForm_limit	NumStability.Algorithms.TestMatrices.Higham28Ginibre	in the pinned reverse closure
NumStability.realGinibreExpectedCountClosedForm_odd_finiteSum	NumStability.Algorithms.TestMatrices.Higham28GinibreParity	in the pinned reverse closure
NumStability.realGinibreExpectedCountClosedForm_odd_gammaSum	NumStability.Algorithms.TestMatrices.Higham28GinibreParity	in the pinned reverse closure
NumStability.realGinibreExpectedCountClosedForm_one	NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	in the pinned reverse closure
NumStability.realGinibreExpectedCountClosedForm_shift_two	NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	in the pinned reverse closure
NumStability.realGinibreExpectedCountClosedForm_two	NumStability.Algorithms.TestMatrices.Higham28GinibreParity	in the pinned reverse closure
NumStability.realGinibreExpectedCountLimit_of_coefficient_formula	NumStability.Algorithms.TestMatrices.Higham28Probability	consumes retained material (command-level closure)
NumStability.realGinibreExpectedCountLimit_of_finiteExpectationFormula	NumStability.Algorithms.TestMatrices.Higham28Ginibre	in the pinned reverse closure
NumStability.realGinibreExpectedCountLimit_of_shift	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedConclusion	in the pinned reverse closure
NumStability.realGinibreExpectedCountLimit_of_signedPairShift	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedConclusion	in the pinned reverse closure
NumStability.realGinibreFiniteExpectationFormula_of_shift	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedConclusion	in the pinned reverse closure
NumStability.realGinibreFiniteExpectationFormula_of_signedPairShift	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedConclusion	in the pinned reverse closure
NumStability.realGinibreLebesgueMeasure	NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	consumes retained material (command-level closure)
NumStability.realGinibreLebesgueMeasure_absolutelyContinuous	NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	consumes retained material (command-level closure)
NumStability.realGinibreMeasure	NumStability.Algorithms.TestMatrices.Higham28Probability	consumes retained material (command-level closure)
NumStability.realGinibreMeasure_absolutelyContinuous_lebesgue	NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	consumes retained material (command-level closure)
NumStability.realGinibreMeasure_eq_withDensity	NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	consumes retained material (command-level closure)
NumStability.realGinibreMeasure_one_map_entry	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantMoment	consumes retained material (command-level closure)
NumStability.realGinibreMeasure_one_prod_map_entry	NumStability.Algorithms.TestMatrices.Higham28GinibreDeterminantMoment	consumes retained material (command-level closure)
NumStability.realGinibreMeasure_two_discriminant_nonnegative_real	NumStability.Algorithms.TestMatrices.Higham28GinibreDimensionTwo	consumes retained material (command-level closure)
NumStability.realGinibreMeasure_two_map_ginibreTwoEntryVector	NumStability.Algorithms.TestMatrices.Higham28GinibreDimensionTwo	consumes retained material (command-level closure)
NumStability.realGinibreMeasure_univ	NumStability.Algorithms.TestMatrices.Higham28Probability	consumes retained material (command-level closure)
NumStability.realGinibreParityIncrement_zero	NumStability.Algorithms.TestMatrices.Higham28GinibreParity	in the pinned reverse closure
NumStability.realGinibre_hypergeometric_one	NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	in the pinned reverse closure
NumStability.realGinibre_hypergeometric_shift_two	NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	in the pinned reverse closure
NumStability.realGinibre_hypergeometric_tendsto_one	NumStability.Algorithms.TestMatrices.Higham28Ginibre	in the pinned reverse closure
NumStability.realGinibre_hypergeometric_two	NumStability.Algorithms.TestMatrices.Higham28GinibreParity	in the pinned reverse closure
NumStability.rotatedSignedPascal_cube	NumStability.Algorithms.TestMatrices.Higham28Pascal	in the pinned reverse closure
NumStability.rotatedSignedPascal_square_apply	NumStability.Algorithms.TestMatrices.Higham28Pascal	in the pinned reverse closure
NumStability.secondDifferenceConditionAsymptotic_proved	NumStability.Algorithms.TestMatrices.Higham28ToeplitzCondition	in the pinned reverse closure
NumStability.secondDifferenceConditionTwo_eq_closedForm	NumStability.Algorithms.TestMatrices.Higham28ToeplitzCondition	in the pinned reverse closure
NumStability.secondDifferenceInverse_scaled_sine_eigenpair	NumStability.Algorithms.TestMatrices.Higham28ToeplitzCondition	in the pinned reverse closure
NumStability.signedPairShift_of_kernelTransfer	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedConclusion	in the pinned reverse closure
NumStability.singleHouseholder_randsvd_correction_rank_le_two	NumStability.Algorithms.TestMatrices.Higham28Stewart	in the pinned reverse closure
NumStability.singleHouseholder_randsvd_eq_diagonal_add_rankTwo	NumStability.Algorithms.TestMatrices.Higham28Stewart	in the pinned reverse closure
NumStability.stewartHouseholderFunctionList_measurable	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.stewartLaw_isNormalizedOrthogonalHaarLaw	NumStability.Algorithms.TestMatrices.Higham28Probability	consumes retained material (command-level closure)
NumStability.stewartOrthogonalGroupLaw	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.stewartOrthogonalGroupLaw_eq_normalizedOrthogonalHaar	NumStability.Algorithms.TestMatrices.Higham28StewartRawFiber	consumes retained material (command-level closure)
NumStability.stewartOrthogonalGroupLaw_isProbabilityMeasure	NumStability.Algorithms.TestMatrices.Higham28StewartRecursion	consumes retained material (command-level closure)
NumStability.stewartOrthogonalGroupLaw_succ	NumStability.Algorithms.TestMatrices.Higham28StewartRecursion	consumes retained material (command-level closure)
NumStability.stewartOrthogonalGroupLaw_univ	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.stewartOrthogonalGroupLaw_univ_of_measurable	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.stewartOrthogonalGroupLaw_zero	NumStability.Algorithms.TestMatrices.Higham28StewartRecursion	consumes retained material (command-level closure)
NumStability.stewartRawFiberLaw	NumStability.Algorithms.TestMatrices.Higham28StewartRawFiber	consumes retained material (command-level closure)
NumStability.stewartRawFiberMeasure_eq_normalizedHaar	NumStability.Algorithms.TestMatrices.Higham28StewartRawFiber	consumes retained material (command-level closure)
NumStability.stewartRawFiberMeasure_firstRow	NumStability.Algorithms.TestMatrices.Higham28StewartRawFiber	consumes retained material (command-level closure)
NumStability.stewartRawFiberMeasure_isProbabilityMeasure	NumStability.Algorithms.TestMatrices.Higham28StewartRawFiber	consumes retained material (command-level closure)
NumStability.stewartRawFiberMeasure_left_invariant	NumStability.Algorithms.TestMatrices.Higham28StewartRawFiber	consumes retained material (command-level closure)
NumStability.stewartTailRotate_measurePreserving	NumStability.Algorithms.TestMatrices.Higham28StewartRecursion	consumes retained material (command-level closure)
NumStability.stewartTheorem28_1HaarConclusion	NumStability.Algorithms.TestMatrices.Higham28StewartRawFiber	consumes retained material (command-level closure)
NumStability.stewartTheorem28_1HaarConclusion_iff_isHaarMeasure	NumStability.Algorithms.TestMatrices.Higham28Stewart	consumes retained material (command-level closure)
NumStability.sum_ginibreIncidenceRankImage_pairPrefix_eq_alternatingPairCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	in the pinned reverse closure
NumStability.sum_ginibreIncidenceRankImage_sign_eq_alternatingCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	in the pinned reverse closure
NumStability.sum_ginibreIncidenceRankPieceBelow_image_sign_eq_alternatingCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	in the pinned reverse closure
NumStability.sum_lintegral_ginibreRankImages_eq_fiberMultiplicity	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	in the pinned reverse closure
NumStability.summable_ginibreHypergeometricTerm	NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	in the pinned reverse closure
NumStability.symmetricToeplitz_orthogonal_diagonalization	NumStability.Algorithms.TestMatrices.Higham28Contracts	in the pinned reverse closure
NumStability.symmetricToeplitz_scaled_sine_eigenpair	NumStability.Algorithms.TestMatrices.Higham28Contracts	in the pinned reverse closure
NumStability.symmetricToeplitz_sine_eigenpair	NumStability.Algorithms.TestMatrices.Higham28Contracts	in the pinned reverse closure
NumStability.toeplitzSineVector_ne_zero	NumStability.Algorithms.TestMatrices.Higham28Contracts	in the pinned reverse closure
