declaration	owner	visibility	in_union_closure	in_signature_closure	in_body_closure
NumStability.companion_transpose_krylov_linearIndependent	NumStability.Algorithms.TestMatrices.Higham28Contracts	public	True	False	True
NumStability.complexSymmetricToeplitz_sine_eigenpair	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	public	True	False	True
NumStability.complexTridiagonalToeplitz_p522_unrestricted_charpoly	NumStability.Algorithms.TestMatrices.Higham28ToeplitzSpectrum	public	True	False	True
NumStability.complexUpperEigenvalueCount_eq	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	public	True	False	True
NumStability.complexUpperEigenvalueCount_le	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	public	True	False	True
NumStability.compoundMatrix_pascal_pos	NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	public	True	False	True
NumStability.continuous_ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	public	True	False	True
NumStability.differentiable_ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	public	True	False	True
NumStability.expectedGinibreAlternatingCount_add_two	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	public	True	False	True
NumStability.expectedGinibreAlternatingCount_eq_dimension	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	public	True	False	True
NumStability.expectedGinibreAlternatingPairCount_one	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	public	True	False	True
NumStability.expectedGinibreAlternatingPairCount_succ_eq_factor_mul_oneRootMoment	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	public	True	False	True
NumStability.expectedRealEigenvalueCount_eq_alternating_sub_two_pairs	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	public	True	False	True
NumStability.expectedRealEigenvalueCount_eq_closedForm_one	NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	public	True	False	True
NumStability.expectedRealEigenvalueCount_eq_closedForm_two	NumStability.Algorithms.TestMatrices.Higham28GinibreDimensionTwo	public	True	False	True
NumStability.expectedRealEigenvalueCount_shift_eq_neg_two_mul_pair_shift	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	public	True	False	True
NumStability.expectedRealEigenvalueCount_succ_eq_corollary31Factor_mul_moment	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	public	True	False	True
NumStability.fderiv_ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	public	True	False	True
NumStability.gaussianColumnMatrixMeasureOfScale_det_ne_zero_ae	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.gaussianColumnMatrixMeasure_det_ne_zero_ae	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.gaussianQRQLawOfScale_eq_normalizedOrthogonalHaar	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.gaussianQRQLawOfScale_isProbabilityMeasure	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.gaussianQRQLaw_eq_normalizedOrthogonalHaar	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.gaussianQRQLaw_isHaarMeasure	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.gaussianQRQLaw_isMulLeftInvariant	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.gaussianQRQLaw_isProbabilityMeasure	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.gaussianQRQ_orthogonalLeftMul_ae	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	public	True	False	True
NumStability.gaussianZeroPow_mul_integral_ginibreProjectiveWeight	NumStability.Algorithms.TestMatrices.Higham28GinibreCorollary31Factor	public	True	False	True
NumStability.generalToeplitzSineVector_ne_zero	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	public	True	False	True
NumStability.generalToeplitz_complex_sine_eigenpair_of_super_ne_zero	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	public	True	False	True
NumStability.generalToeplitz_sine_eigenpair	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	public	True	False	True
NumStability.generalToeplitz_unrestricted_complex_eigenpair	NumStability.Algorithms.TestMatrices.Higham28ToeplitzGeneral	public	True	False	True
NumStability.ginibreAlternatingEigenvalueCount_eq_dimension	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	public	True	False	True
NumStability.ginibreCorollary31Factor_mul_increment_eq_closedForm_shift	NumStability.Algorithms.TestMatrices.Higham28GinibreExpectationGlue	public	True	False	True
NumStability.ginibreHypergeometricTerm_two_eq_binomialTail	NumStability.Algorithms.TestMatrices.Higham28GinibreParity	public	True	False	True
NumStability.ginibreIncidenceLebesgueMeasure_eq_volume	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	public	True	True	True
NumStability.ginibreIncidenceLebesgueMeasure_isAddHaarMeasure	NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge	public	True	False	True
NumStability.ginibreIncidenceRootRank_lt_of_chart_eq	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	public	True	False	True
