declaration	kind	visibility	owner_module	destination_module	route_class	normalization_decision	in_private_closure	new_private_name
NumStability.Ch15.qNorm_zof_inf_eq_row	theorem	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.ConvergenceStatements	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Square	reusable	approved_owner_block_route	no	-
NumStability.Ch15.rect_general_boyd_concrete_source_local_linear	theorem	public	NumStability.Algorithms.HighamChapter15BoydSourceClosure	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.StrongLocalMaximum.Convergence	source	approved_owner_block_route	yes	-
NumStability.Ch15.rect_general_boyd_concrete_source_local_linear_uniform	theorem	public	NumStability.Algorithms.HighamChapter15BoydSourceClosure	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.StrongLocalMaximum.Convergence	source	approved_owner_block_route	yes	-
NumStability.Ch15.sign_infNorm_eq_one	theorem	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.ConvergenceStatements	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Square	reusable	approved_owner_block_route	no	-
NumStability.Ch15Closure.H15_Theorem15_7_of_absLU_eq	theorem	public	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	-
NumStability.Ch15Closure.H15_Theorem15_8_of_rowDiagDominant	theorem	public	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	-
NumStability.Ch15IkebeClosure.H15_Theorem15_9_of_irreducible_rightInverse	theorem	public	NumStability.Algorithms.LU.TridiagonalCondCh15IkebeClosure	NumStability.Source.Higham.Chapter15.Theorem09.Ikebe.IrreducibleRightInverse.RankOneStructure	source	approved_owner_block_route	yes	-
NumStability.Higham15.H15_Algorithm15_4_condEstimate_le_kappaOne	theorem	public	NumStability.Algorithms.Chapter15CondEst	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	source	approved_owner_block_route	no	-
NumStability.Higham15.H15_Algorithm15_4_exact_ratio_witness	theorem	public	NumStability.Algorithms.Chapter15CondEst	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	source	approved_owner_block_route	no	-
NumStability.Higham15.H15_Algorithm15_4_lower_bound	theorem	public	NumStability.Algorithms.Chapter15CondEst	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	source	approved_owner_block_route	no	-
NumStability.Higham15.H15_Algorithm15_4_ratio_witness	theorem	public	NumStability.Algorithms.Chapter15CondEst	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	source	approved_owner_block_route	no	-
NumStability.Higham15.H15_Algorithm15_4_scaled_le_kappaOne	theorem	public	NumStability.Algorithms.Chapter15CondEst	NumStability.Source.Higham.Chapter15.Algorithm04.LAPACKNormEstimator.ConditionEstimate.Bounds	source	approved_owner_block_route	no	-
NumStability.Higham15Problem15_6.H15_Problem15_6_of_irreducible_rightInverse	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.H15_Problem15_6_operational_of_irreducible_rightInverse	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Operational	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.ArrayExecution	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.absInvMul_correct	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.backward_column_scaled	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.backward_row_scaled	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.forward_column_scaled	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.forward_row_scaled	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.infNorm_correct	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.lower_factorization	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.p_correct	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.problem15_6_absInvMulOperational_correct	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Operational	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.ArrayExecution	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.problem15_6_infNormOperational_correct	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Operational	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.ArrayExecution	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.qResidual_ne	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.qResidual_scaled	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.q_correct	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.tridiag_mulVec_entry	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.tridiag_vecMul_entry	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.upper_factorization	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.x_correct	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.yResidual_ne	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.yResidual_scaled	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.Higham15Problem15_6.y_correct	theorem	public	NumStability.Algorithms.LU.Higham15Problem15_6Closure	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.FactorizationAndNorm	source	approved_owner_block_route	yes	-
NumStability.RectPNormPair.higham15_rectangular_infinity_counterexample_stops_at_four	theorem	public	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	-
NumStability.RectPNormPair.higham15_rectangular_infinity_n_plus_one_source_discrepancy	theorem	public	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	-
NumStability.RectPNormPair.holder_inf	theorem	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.PNormRectangular	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Rectangular	reusable	approved_owner_block_route	no	-
NumStability.RectPNormPair.infNormVec_rectMatVec_le	theorem	public	NumStability.Algorithms.NormEstimation.PNorm.Endpoints.PNormRectangular	NumStability.Algorithms.NormEstimation.PNorm.OneAndInfinityNorms.Rectangular	reusable	approved_owner_block_route	no	-
