declaration	kind	visibility	owner_module	destination_module	route_class	normalization_decision	in_private_closure	new_private_name
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY3	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY3
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY4	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY4
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ0	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ0
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ1	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ1
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ2	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ2
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ3	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ3
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ4	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ4
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x0	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x0
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x1	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x1
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x2	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x2
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x3	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x3
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x4	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x4
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x0	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x0
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x1	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x1
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x2	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x2
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x3	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x3
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_stops_x4	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_stops_x4
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x0	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x0
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x1	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x1
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x2	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x2
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x3	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x3
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_four	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_four
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_one	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_one
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_three	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_three
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_two	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_two
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_zero	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_zero
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x0	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x0
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x1	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x1
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x2	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x2
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x3	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x3
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x4	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x4
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x0	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x0
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x1	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x1
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x2	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x2
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x3	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x3
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x4	theorem	private	NumStability.Algorithms.HighamChapter15RectTermination	NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section02.Boyd.EndpointTermination.InfinityCounterexample.Trace.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x4
_private.NumStability.Algorithms.LU.Higham15Problem15_6.0.NumStability.Higham15Problem15_6.sum_nested_ite_three	theorem	private	NumStability.Algorithms.LU.Higham15Problem15_6	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas.0.NumStability.Higham15Problem15_6.sum_nested_ite_three
_private.NumStability.Algorithms.LU.Higham15Problem15_6.0.NumStability.Higham15Problem15_6.sum_nested_ite_two	theorem	private	NumStability.Algorithms.LU.Higham15Problem15_6	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas.0.NumStability.Higham15Problem15_6.sum_nested_ite_two
_private.NumStability.Algorithms.LU.Higham15Problem15_6.0.NumStability.Higham15Problem15_6.upper_corner_ne	theorem	private	NumStability.Algorithms.LU.Higham15Problem15_6	NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Problem06.TridiagonalInverseNorm.Recurrences.EntryFormulas.0.NumStability.Higham15Problem15_6.upper_corner_ne
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_LU_diag_rel	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_LU_diag_rel
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_LU_sub_eq	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_LU_sub_eq
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_LU_super_eq	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_LU_super_eq
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_Linv_rec	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_Linv_rec
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_Uinv_rec	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_Uinv_rec
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_absLU_diag	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_absLU_diag
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_abs_sum_of_pairwise_nonneg	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_abs_sum_of_pairwise_nonneg
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_bidiag_U_isDiagDominantUpper	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_bidiag_U_isDiagDominantUpper
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_bidiag_rowSum_bound	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_bidiag_rowSum_bound
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_diag_sign	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_diag_sign
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_filter_lower_succ	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_filter_lower_succ
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_filter_upper_succ	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_filter_upper_succ
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_nonneg_of_abs_add_eq	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_nonneg_of_abs_add_eq
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_row_offdiag_le	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_row_offdiag_le
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_row_two_offdiag_le	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_row_two_offdiag_le
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_t_pairwise_ge	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_t_pairwise_ge
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_t_recurrence	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_t_recurrence
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_tridiag_rowDom_U_super_le_diag	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_tridiag_rowDom_U_super_le_diag
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_upperBidiagInv_abs_le	theorem	private	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds	source	approved_owner_block_route	yes	_private.NumStability.Source.Higham.Chapter15.Section06.TridiagonalLUConditionBounds.ExactBounds.0.NumStability.Ch15Closure.c15_upperBidiagInv_abs_le
