declaration	kind	visibility	owner_module	destination_code	destination_module	tier	pinned_by_private_closure	demoted	review_batch
NumStability.ch15Closure_unitSphereOfFiniteVec	definition	public	NumStability.Algorithms.Ch15DixonClosure	R:TwoNorm/Dixon/Algebra	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Algebra.DixonCompletion	reusable	no	no	dixon
NumStability.ch15SphereFirstCoordinate	definition	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15SphereInner	definition	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15SphereInner_base	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15SphereInner_smul	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_dixon_strip_coefficient_le	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_inv_sqrt_two_pi_le	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_measurable_sphereFirstCoordinate	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_piFinSuccAbove_norm_sq	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_ratio_implies_strip	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_standardGaussianDirection_firstCoordinate_dixon_bound	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_standardGaussianDirection_firstCoordinate_small	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_standardGaussianDirection_inner_dixon_bound	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_standardGaussian_abs_le	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_standardGaussian_coordinate_sq_integral	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_standardGaussian_norm_integral_le_sqrt	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_standardGaussian_norm_sq_integral	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_standardGaussian_pdf_le	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.ch15_standardGaussian_product_strip_bound	theorem	public	NumStability.Algorithms.Ch15DixonProbability	R:TwoNorm/Dixon/Probability	NumStability.Algorithms.NormEstimation.TwoNorm.Dixon.Probability.DixonProbability	reusable	no	no	dixon
NumStability.cond_norm_identity	theorem	public	NumStability.Algorithms.CondEstimation	R:OneNorm/FiniteIndex	NumStability.Algorithms.NormEstimation.OneNorm.FiniteIndex.Basic	reusable	no	no	onenorm-core
NumStability.higham15_6_dixon_closed	theorem	public	NumStability.Algorithms.Ch15DixonClosure	S:Theorem06/Dixon	NumStability.Source.Higham.Chapter15.Theorem06.Dixon.Basic	source	no	no	dixon
NumStability.initial_vec_oneNorm	theorem	public	NumStability.Algorithms.CondEstimation	R:OneNorm/PowerMethod	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod.CondEstimation	reusable	no	no	onenorm-core
NumStability.lapackAltVec	definition	public	NumStability.Algorithms.CondEstimation	R:OneNorm/LAPACK	NumStability.Algorithms.NormEstimation.OneNorm.LAPACK.Basic	reusable	no	no	onenorm-core
NumStability.lapackNormEstimator	definition	public	NumStability.Algorithms.CondEstimation	R:OneNorm/LAPACK	NumStability.Algorithms.NormEstimation.OneNorm.LAPACK.Basic	reusable	no	no	onenorm-core
NumStability.lapackNormEstimator_lower_bound	theorem	public	NumStability.Algorithms.CondEstimation	RETAIN	NumStability.Algorithms.CondEstimation	historical	yes	no	onenorm-core
NumStability.mul_signVec_eq_abs	theorem	public	NumStability.Algorithms.CondEstimation	R:OneNorm/PowerMethod	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod.CondEstimation	reusable	no	no	onenorm-core
NumStability.oneNormPowerMethod	definition	public	NumStability.Algorithms.CondEstimation	R:OneNorm/PowerMethod	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod.CondEstimation	reusable	no	no	onenorm-core
NumStability.oneNormPowerMethod_lower_bound	theorem	public	NumStability.Algorithms.CondEstimation	RETAIN	NumStability.Algorithms.CondEstimation	historical	yes	no	onenorm-core
NumStability.oneNormStep	definition	public	NumStability.Algorithms.CondEstimation	R:OneNorm/PowerMethod	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod.CondEstimation	reusable	no	no	onenorm-core
NumStability.oneNormVec	definition	public	NumStability.Algorithms.CondEstimation	R:OneNorm/PowerMethod	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod.CondEstimation	reusable	no	no	onenorm-core
NumStability.oneNormVec_basisVec	theorem	public	NumStability.Algorithms.CondEstimation	R:OneNorm/PowerMethod	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod.CondEstimation	reusable	no	no	onenorm-core
NumStability.oneNormVec_matVec_le	theorem	public	NumStability.Algorithms.CondEstimation	R:OneNorm/PowerMethod	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod.CondEstimation	reusable	no	no	onenorm-core
NumStability.oneNormVec_nonneg	theorem	public	NumStability.Algorithms.CondEstimation	R:OneNorm/PowerMethod	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod.CondEstimation	reusable	no	no	onenorm-core
NumStability.oneNorm_eq_infNorm_transpose'	theorem	public	NumStability.Algorithms.CondEstimation	R:OneNorm/FiniteIndex	NumStability.Algorithms.NormEstimation.OneNorm.FiniteIndex.Basic	reusable	no	no	onenorm-core
NumStability.signVec	definition	public	NumStability.Algorithms.CondEstimation	R:OneNorm/PowerMethod	NumStability.Algorithms.NormEstimation.OneNorm.PowerMethod.CondEstimation	reusable	no	no	onenorm-core
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_solves	theorem	private	NumStability.Algorithms.Ch15CondEstimators	RETAIN	NumStability.Algorithms.Ch15CondEstimators	historical	yes	no	onenorm-core
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_stable	theorem	private	NumStability.Algorithms.Ch15CondEstimators	RETAIN	NumStability.Algorithms.Ch15CondEstimators	historical	yes	no	onenorm-core
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_value_at	theorem	private	NumStability.Algorithms.Ch15CondEstimators	RETAIN	NumStability.Algorithms.Ch15CondEstimators	historical	yes	no	onenorm-core
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.matMulVec_upperTri_split	theorem	private	NumStability.Algorithms.Ch15CondEstimators	RETAIN	NumStability.Algorithms.Ch15CondEstimators	historical	yes	no	onenorm-core
_private.NumStability.Algorithms.CondEstimation.0.NumStability.oneNormPowerMethod_invariant	theorem	private	NumStability.Algorithms.CondEstimation	RETAIN	NumStability.Algorithms.CondEstimation	historical	yes	no	onenorm-core
_private.NumStability.Algorithms.CondEstimation.0.NumStability.oneNormStep_gamma_eq	theorem	private	NumStability.Algorithms.CondEstimation	RETAIN	NumStability.Algorithms.CondEstimation	historical	yes	no	onenorm-core
_private.NumStability.Algorithms.CondEstimation.0.NumStability.oneNormStep_gamma_le	theorem	private	NumStability.Algorithms.CondEstimation	RETAIN	NumStability.Algorithms.CondEstimation	historical	yes	no	onenorm-core
_private.NumStability.Algorithms.CondEstimation.0.NumStability.oneNormStep_x_le	theorem	private	NumStability.Algorithms.CondEstimation	RETAIN	NumStability.Algorithms.CondEstimation	historical	yes	no	onenorm-core
_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.boyd_weight_exponents_cancel	theorem	private	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	RETAIN	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	historical	yes	no	boyd-scalar
_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.hasDerivAt_abs_rpow_affine	theorem	private	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	RETAIN	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	historical	yes	no	boyd-scalar
_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine	theorem	private	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	RETAIN	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	historical	yes	no	boyd-scalar
_private.NumStability.Algorithms.HighamChapter15BoydScalar.0.NumStability.Ch15.scalarBasis	definition	private	NumStability.Algorithms.HighamChapter15BoydScalar	RETAIN	NumStability.Algorithms.HighamChapter15BoydScalar	historical	yes	no	boyd-scalar
_private.NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine_of_ne	theorem	private	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	RETAIN	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	historical	yes	no	boyd-bridges
_private.NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine_of_two_le	theorem	private	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	RETAIN	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	historical	yes	no	boyd-bridges
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX1	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX2	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX3	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX4	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY0	definition	private	NumStability.Algorithms.HighamChapter15RectTermination	RETAIN	NumStability.Algorithms.HighamChapter15RectTermination	historical	yes	no	rect-term
