declaration	kind	visibility	owner_module	destination_code	destination_module	tier	pinned_by_private_closure	demoted	review_batch
NumStability.Ch15.H15_Theorem15_7	theorem	public	NumStability.Algorithms.LU.TridiagonalCondCh15	S:Theorem07/TridiagonalLU	NumStability.Source.Higham.Chapter15.Theorem07.TridiagonalLU.Basic	source	no	no	lu-tridiagonal
NumStability.Ch15.H15_Theorem15_8	theorem	public	NumStability.Algorithms.LU.TridiagonalCondCh15	S:Theorem08/TridiagonalDiagonalDominance	NumStability.Source.Higham.Chapter15.Theorem08.TridiagonalDiagonalDominance.Basic	source	no	no	lu-tridiagonal
NumStability.Ch15.H15_Theorem15_9	theorem	public	NumStability.Algorithms.LU.TridiagonalCondCh15	S:Theorem09/Ikebe	NumStability.Source.Higham.Chapter15.Theorem09.Ikebe.Basic	source	no	no	lu-tridiagonal
NumStability.Ch15.HasDirectionalGradientAt	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/Duality	NumStability.Algorithms.NormEstimation.PNorm.Duality.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.IsBoydConcreteNondegenerate	definition	public	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	R:PNorm/Boyd/SecondVariation	NumStability.Algorithms.NormEstimation.PNorm.Boyd.SecondVariation.BoydConcrete	reusable	no	no	boyd-scalar
NumStability.Ch15.IsBoydConcreteSourceStrongLocalMaximum	definition	public	NumStability.Algorithms.HighamChapter15BoydSourceClosure	S:Section02/Boyd/SourceDomain	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.BoydCompletion	source	no	no	boyd-bridges
NumStability.Ch15.IsBoydConcreteSourceStrongLocalMaximum.hasActualSecondDerivativeGap	theorem	public	NumStability.Algorithms.HighamChapter15BoydSourceClosure	RETAIN	NumStability.Algorithms.HighamChapter15BoydSourceClosure	historical	yes	no	boyd-bridges
NumStability.Ch15.IsBoydConcreteStationary	definition	public	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	R:PNorm/Boyd/FixedPoints	NumStability.Algorithms.NormEstimation.PNorm.Boyd.FixedPoints.BoydConcrete	reusable	no	no	boyd-scalar
NumStability.Ch15.IsBoydConcreteStrongLocalMaximum	definition	public	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	S:Section02/Boyd/Corrections	NumStability.Source.Higham.Chapter15.Section02.Boyd.Corrections.BoydConcrete	source	no	no	boyd-scalar
NumStability.Ch15.IsBoydInnerRowwiseSmoothDomain	definition	public	NumStability.Algorithms.HighamChapter15BoydRowwiseDomain	R:PNorm/Boyd/RowwiseDomain	NumStability.Algorithms.NormEstimation.PNorm.Boyd.RowwiseDomain.Basic	reusable	no	no	boyd-domains
NumStability.Ch15.IsBoydInnerSmoothDomain	definition	public	NumStability.Algorithms.HighamChapter15BoydSourceDomain	S:Section02/Boyd/SourceDomain	NumStability.Source.Higham.Chapter15.Section02.Boyd.SourceDomain.BoydDomain	source	no	no	boyd-domains
NumStability.Ch15.IsBoydNondegenerateTangentHessian	definition	public	NumStability.Algorithms.HighamChapter15BoydSourceLocal	R:PNorm/Boyd/SecondVariation	NumStability.Algorithms.NormEstimation.PNorm.Boyd.SecondVariation.BoydLocal	reusable	no	no	boyd-domains
NumStability.Ch15.IsBoydRowwiseCompositionSmooth	definition	public	NumStability.Algorithms.HighamChapter15BoydRowwiseDomain	R:PNorm/Boyd/RowwiseDomain	NumStability.Algorithms.NormEstimation.PNorm.Boyd.RowwiseDomain.Basic	reusable	no	no	boyd-domains
NumStability.Ch15.IsLocalContractionTo	definition	public	NumStability.Algorithms.HighamChapter15BoydBridges	R:PNorm/Boyd/LocalStability	NumStability.Algorithms.NormEstimation.PNorm.Boyd.LocalStability.BoydInterface	reusable	no	no	boyd-bridges
NumStability.Ch15.IsLocalSeminormContractionTo	definition	public	NumStability.Algorithms.HighamChapter15BoydLocalStability	R:PNorm/Boyd/LocalStability	NumStability.Algorithms.NormEstimation.PNorm.Boyd.LocalStability.BoydLocalStability	reusable	no	no	boyd-domains
NumStability.Ch15.IsPlusMinusOne	definition	public	NumStability.Algorithms.Ch15CondEstimators	R:OneNorm/LINPACK	NumStability.Algorithms.NormEstimation.OneNorm.LINPACK.Basic	reusable	no	no	onenorm-core
NumStability.Ch15.IsRealLpNormer	definition	public	NumStability.Algorithms.PNormPowerMethodGeneralP	R:PNorm/Duality	NumStability.Algorithms.NormEstimation.PNorm.Duality.PNormGeneral	reusable	no	no	pnorm-gen-rect
NumStability.Ch15.IsSubgradient	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/Duality	NumStability.Algorithms.NormEstimation.PNorm.Duality.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.IsUpperTriangular	definition	public	NumStability.Algorithms.Ch15CondEstimators	R:OneNorm/LINPACK	NumStability.Algorithms.NormEstimation.OneNorm.LINPACK.Basic	reusable	no	no	onenorm-core
NumStability.Ch15.PNormPair	inductive	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.A	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.State	inductive	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.casesOn	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.ctorIdx	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.mk	constructor	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.mk.inj	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.mk.injEq	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.mk.noConfusion	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.mk.sizeOf_spec	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.noConfusion	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.noConfusionType	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.rec	recursor	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.recOn	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.x	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.State.γ	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.casesOn	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.convergence_test_iff	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Lemma02/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Lemma02.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.ctorIdx	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.dp	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.dp_attains	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.dp_isSubgradient	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.dp_qunit	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.dq	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.dq_attains	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.dq_punit	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.eq15_2_zof_isSubgradient	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Equation02/Subgradient	NumStability.Source.Higham.Chapter15.Equation02.Subgradient.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.eq15_5_subgradient_inequality	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Equation05/SubgradientInequality	NumStability.Source.Higham.Chapter15.Equation05.SubgradientInequality.Basic	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.exists_gammaSeq_limit	theorem	public	NumStability.Algorithms.HighamChapter15ConvergenceProse	S:Section02/Boyd/GlobalConvergence	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ConvergenceStatements	source	no	no	boyd-bridges
NumStability.Ch15.PNormPair.gammaSeq	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.gammaSeq_bddAbove	theorem	public	NumStability.Algorithms.HighamChapter15ConvergenceProse	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.ConvergenceStatements	source	no	yes	boyd-bridges
NumStability.Ch15.PNormPair.gammaSeq_ge_start	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.gammaSeq_le_opP	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.gammaSeq_mono	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.gammaSeq_monotone	theorem	public	NumStability.Algorithms.HighamChapter15ConvergenceProse	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.ConvergenceStatements	source	no	yes	boyd-bridges
NumStability.Ch15.PNormPair.gammaSeq_tendsto_ciSup	theorem	public	NumStability.Algorithms.HighamChapter15ConvergenceProse	S:Section02/Boyd/GlobalConvergence	NumStability.Source.Higham.Chapter15.Section02.Boyd.GlobalConvergence.ConvergenceStatements	source	no	no	boyd-bridges
NumStability.Ch15.PNormPair.holder	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.lemma152a	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Lemma02/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Lemma02.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.lemma152b	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Lemma02/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Lemma02.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.mk	constructor	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.mk.inj	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.mk.injEq	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.mk.noConfusion	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.mk.sizeOf_spec	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.noConfusion	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.noConfusionType	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.opP	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.op_bound	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.pN	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.pN_nonneg	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.powerStep	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.powerStep_gamma_eq	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.powerStep_gamma_le_opP	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.powerStep_scaling	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Algorithm01/PNormPowerMethod	NumStability.Source.Higham.Chapter15.Algorithm01.PNormPowerMethod.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.PNormPair.qN	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.rec	recursor	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.recOn	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.xnext	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.xseq	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.xseq_has_convergent_subsequence	theorem	public	NumStability.Algorithms.HighamChapter15ConvergenceProse	R:PNorm/Convergence	NumStability.Algorithms.NormEstimation.PNorm.Convergence.ConvergenceStatements	reusable	no	no	boyd-bridges
NumStability.Ch15.PNormPair.xseq_limit_is_fixed_of_continuousAt	theorem	public	NumStability.Algorithms.HighamChapter15ConvergenceProse	R:PNorm/Convergence	NumStability.Algorithms.NormEstimation.PNorm.Convergence.ConvergenceStatements	reusable	no	no	boyd-bridges
NumStability.Ch15.PNormPair.xseq_punit	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.yof	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.yof_sub	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.z_dot	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.PNormPair.zof	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair	inductive	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.P	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.casesOn	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.composite_hasDirectionalGradientAt	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.conjugate	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.ctorIdx	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.dp_qnorm_one	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.eq15_2_subdifferential_singleton	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Equation02/Subgradient	NumStability.Source.Higham.Chapter15.Equation02.Subgradient.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.eq15_3_F	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Equation03/GradientQuotient	NumStability.Source.Higham.Chapter15.Equation03.GradientQuotient.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.eq15_3_directional	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Equation03/GradientQuotient	NumStability.Source.Higham.Chapter15.Equation03.GradientQuotient.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.eq15_3_directional_of_full_rank	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Equation03/GradientQuotient	NumStability.Source.Higham.Chapter15.Equation03.GradientQuotient.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.eq15_3_gradient	definition	public	NumStability.Algorithms.PNormPowerMethod	S:Equation03/GradientQuotient	NumStability.Source.Higham.Chapter15.Equation03.GradientQuotient.PNormPowerMethod	source	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.eq15_5_subgradient_inequality	theorem	public	NumStability.Algorithms.PNormPowerMethod	S:Equation05/SubgradientInequality	NumStability.Source.Higham.Chapter15.Equation05.SubgradientInequality.Basic	source	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.general	definition	public	NumStability.Algorithms.PNormPowerMethodGeneralP	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormGeneral	reusable	no	no	pnorm-gen-rect
NumStability.Ch15.SmoothPNormPair.mk	constructor	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.mk.inj	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.mk.injEq	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.mk.noConfusion	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.mk.sizeOf_spec	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.noConfusion	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.noConfusionType	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.one_lt_p	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.one_lt_q	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.p	definition	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.pN_gradient	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.pN_pos	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
NumStability.Ch15.SmoothPNormPair.pN_zero	theorem	public	NumStability.Algorithms.PNormPowerMethod	R:PNorm/PowerMethod	NumStability.Algorithms.NormEstimation.PNorm.PowerMethod.PNormPowerMethod	reusable	no	no	pnorm-main
