declaration	owner_module	visibility	selected_owner	closure_role	seed_memberships	membership_witnesses	co_route_component	minimum_depth	signature_edge_span	body_edge_span
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.integral_abs_deriv_le_eVariationOn""}]"	NumStability.spijker_crossing_variation	0	0	1
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""}]"	NumStability.spijker_crossing_variation	0	1	3
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.measurable_spijkerPartitionLevelMultiplicity	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.measurable_spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.measurable_spijkerPartitionLevelMultiplicity""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""}]"	NumStability.spijker_crossing_variation	0	1	2
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""}]"	NumStability.spijker_crossing_variation	0	2	4
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues""}]"	NumStability.spijker_crossing_variation	0	2	5
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""}]"	NumStability.spijker_crossing_variation	0	1	8
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues""}]"	NumStability.spijker_crossing_variation	0	2	3
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""}]"	NumStability.spijker_crossing_variation	0	4	6
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card""}]"	NumStability.spijker_crossing_variation	0	2	4
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le	"[{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le""}]"	NumStability.spijker_crossing_variation	0	2	7
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le	"[{""depth"":3,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le""}]"	NumStability.spijker_crossing_variation	0	0	5
_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le;_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le	"[{""depth"":4,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.exists_spijkerPartitionCrossing""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.lintegral_spijkerPartitionLevelMultiplicity""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerActiveIncrements_card_le_of_crossing_bound""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerLevelInterval""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionEndpointValues""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity""},{""depth"":3,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_eq_card""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartitionLevelMultiplicity_le""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijkerPartition_edist_sum_le""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis.0.NumStability.spijker_eVariationOn_le""}]"	NumStability.spijker_crossing_variation	0	0	2
_private.NumStability.Analysis.NumericalRadius.0.NumStability.term𝔼	NumStability.Analysis.NumericalRadius	private	yes	private_seed	_private.NumStability.Analysis.NumericalRadius.0.NumStability.term𝔼	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.NumericalRadius.0.NumStability.term𝔼""}]"	_private.NumStability.Analysis.NumericalRadius.0.NumStability.term𝔼	0	0	0
_private.NumStability.Analysis.PseudospectralResolvent.0.NumStability.«term↑ₐ»	NumStability.Analysis.PseudospectralResolvent	private	yes	private_seed	_private.NumStability.Analysis.PseudospectralResolvent.0.NumStability.«term↑ₐ»	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.PseudospectralResolvent.0.NumStability.«term↑ₐ»""}]"	_private.NumStability.Analysis.PseudospectralResolvent.0.NumStability.«term↑ₐ»	0	0	0
