declaration	owner_module	visibility	selected_owner	closure_role	seed_memberships	membership_witnesses	co_route_component	minimum_depth	signature_edge_span	body_edge_span
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero""}]"	NumStability.opNorm_schurpow_le_binomial	0	1	6
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_ge	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_ge;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_ge""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ""},{""depth"":2,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_apply_eq_zero"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero""}]"	NumStability.opNorm_schurpow_le_binomial	0	1	3
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ""}]"	NumStability.opNorm_schurpow_le_binomial	0	1	4
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ""}]"	NumStability.opNorm_schurpow_le_binomial	0	1	4
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero""}]"	NumStability.opNorm_schurpow_le_binomial	0	1	3
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ""}]"	NumStability.opNorm_schurpow_le_binomial	0	1	3
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_zero""}]"	NumStability.opNorm_schurpow_le_binomial	0	1	2
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.norm_Ppiece_le	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.norm_Ppiece_le	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_eq_zero_of_lt""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_succ""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_succ_zero""},{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.Ppiece_zero_succ""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.norm_Ppiece_le""}]"	NumStability.opNorm_schurpow_le_binomial	0	1	6
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one	"[{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one""}]"	NumStability.norm_pow_eq_norm_schur_pow	0	0	1
_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary	NumStability.Analysis.MatrixPowersBinomialBound	private	yes	private_seed	_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one;_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary	"[{""depth"":1,""edge_kind"":""body"",""predecessor"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_one""},{""depth"":0,""edge_kind"":""seed"",""predecessor"":""-"",""seed"":""_private.NumStability.Analysis.MatrixPowersBinomialBound.0.NumStability.opNorm_unitary""}]"	NumStability.norm_pow_eq_norm_schur_pow	0	0	2
