owner_module	path	base_blob_oid	preserved_imports	appended_imports	post_imports
NumStability.Analysis.MatrixPowersLaszlo	NumStability/Analysis/MatrixPowersLaszlo.lean	2c5dda2891d63423ca1c9b390778c04d2eb8dbd3	NumStability.Analysis.HenriciExtremal;NumStability.Analysis.LinearOperators.MatrixPowers.Laszlo.NearestNormal;NumStability.Analysis.MatrixPowersHenriciNormal;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.Laszlo	-	NumStability.Analysis.HenriciExtremal;NumStability.Analysis.LinearOperators.MatrixPowers.Laszlo.NearestNormal;NumStability.Analysis.MatrixPowersHenriciNormal;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.Laszlo
NumStability.Analysis.MatrixPowersLp185Primary	NumStability/Analysis/MatrixPowersLp185Primary.lean	573feaaaa90c811d151dc6dc0e85ffc7bce29ea6	Mathlib.Data.Real.Basic;Mathlib.Tactic.Linarith;Mathlib.Tactic.Ring;NumStability.Algorithms.MatrixPowersJordan;NumStability.Algorithms.MatrixPowersLp;NumStability.Algorithms.MatrixPowersLpJordan;NumStability.Analysis.MatrixNorms.Lp;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.Equation05Primary	-	Mathlib.Data.Real.Basic;Mathlib.Tactic.Linarith;Mathlib.Tactic.Ring;NumStability.Algorithms.MatrixPowersJordan;NumStability.Algorithms.MatrixPowersLp;NumStability.Algorithms.MatrixPowersLpJordan;NumStability.Analysis.MatrixNorms.Lp;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.Equations04And05.Equation05Primary
NumStability.Analysis.MatrixPowersSchur	NumStability/Analysis/MatrixPowersSchur.lean	7fd000f29e3c9baff1616476d8627f271d4fc6e8	Mathlib.Analysis.CStarAlgebra.Matrix;NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Schur;NumStability.Analysis.LinearOperators.Schur.Complex.Triangulation	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers;NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur;NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular.Diagonal	Mathlib.Analysis.CStarAlgebra.Matrix;NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.Schur;NumStability.Analysis.LinearOperators.Schur.Complex.Triangulation;NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices.Powers;NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization.Schur;NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular.Diagonal
NumStability.Analysis.MatrixPowersSpijkerClosure	NumStability/Analysis/MatrixPowersSpijkerClosure.lean	da61bf24b8fc11d83eb001fca9e12d600dd669c5	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.FiniteDimensionalPowerBounds.Kreiss;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerKreissUnconditional.Bounds	NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.FiniteDimensionalPowerBounds.Kreiss;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerKreissUnconditional.Bounds
NumStability.Analysis.MatrixPowersSpijkerPlanar	NumStability/Analysis/MatrixPowersSpijkerPlanar.lean	8bd4f4db31165196dbc6839c0fe4046d0fe14d69	Mathlib.Algebra.Polynomial.Reverse;Mathlib.Algebra.Polynomial.Roots;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarAlgebra;NumStability.Analysis.MatrixPowersSpijkerRational	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds.Polynomial	Mathlib.Algebra.Polynomial.Reverse;Mathlib.Algebra.Polynomial.Roots;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarAlgebra;NumStability.Analysis.MatrixPowersSpijkerRational;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds.Polynomial
NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	NumStability/Analysis/MatrixPowersSpijkerPlanarAnalysis.lean	66e975322b75385adf7eb55429e6de3715b9f262	Mathlib.MeasureTheory.Integral.IntervalIntegral.DerivIntegrable;Mathlib.MeasureTheory.Integral.Prod;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarAnalysis;NumStability.Analysis.MatrixPowersSpijkerPlanar;NumStability.Analysis.SpijkerProjectionIntegral	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation	Mathlib.MeasureTheory.Integral.IntervalIntegral.DerivIntegrable;Mathlib.MeasureTheory.Integral.Prod;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarAnalysis;NumStability.Analysis.MatrixPowersSpijkerPlanar;NumStability.Analysis.SpijkerProjectionIntegral;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarArcLength.Variation
NumStability.Analysis.MatrixPowersSpijkerRational	NumStability/Analysis/MatrixPowersSpijkerRational.lean	5534c852b63517b2ad9bdcf581f68e25c4a7d376	Mathlib.LinearAlgebra.Matrix.Charpoly.Basic;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.Rational;NumStability.Analysis.MatrixPowersKreissSpijker	-	Mathlib.LinearAlgebra.Matrix.Charpoly.Basic;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.Rational;NumStability.Analysis.MatrixPowersKreissSpijker
NumStability.Analysis.NilpotentJordanChain	NumStability/Analysis/NilpotentJordanChain.lean	e79f05048ae4da669a1dddcb51f3b0716ba1773d	Mathlib.Algebra.DirectSum.Module;Mathlib.Algebra.Module.PID;Mathlib.Algebra.Polynomial.Module.AEval;Mathlib.Data.Fin.Rev;Mathlib.LinearAlgebra.StdBasis;Mathlib.RingTheory.AdjoinRoot;NumStability.Analysis.JordanNormalForm;NumStability.Analysis.LinearOperators.Jordan.NormalForm.NilpotentChains	-	Mathlib.Algebra.DirectSum.Module;Mathlib.Algebra.Module.PID;Mathlib.Algebra.Polynomial.Module.AEval;Mathlib.Data.Fin.Rev;Mathlib.LinearAlgebra.StdBasis;Mathlib.RingTheory.AdjoinRoot;NumStability.Analysis.JordanNormalForm;NumStability.Analysis.LinearOperators.Jordan.NormalForm.NilpotentChains
NumStability.Analysis.NumericalRadius	NumStability/Analysis/NumericalRadius.lean	df20cb0021acdf3021f333d6a39a775d52322c85	Mathlib.Analysis.CStarAlgebra.Matrix;Mathlib.Analysis.InnerProductSpace.LinearMap;Mathlib.Analysis.InnerProductSpace.Rayleigh;NumStability.Analysis.LinearOperators.NumericalRadius.Core.Basic	-	Mathlib.Analysis.CStarAlgebra.Matrix;Mathlib.Analysis.InnerProductSpace.LinearMap;Mathlib.Analysis.InnerProductSpace.Rayleigh;NumStability.Analysis.LinearOperators.NumericalRadius.Core.Basic
NumStability.Analysis.OperatorLog	NumStability/Analysis/OperatorLog.lean	d10c70313d4f6254ffbab0163031b404a935fc3f	Mathlib.Analysis.CStarAlgebra.CStarMatrix;Mathlib.Analysis.CStarAlgebra.Classes;Mathlib.Analysis.SpecialFunctions.ContinuousFunctionalCalculus.ExpLog.Order;Mathlib.Topology.Instances.Matrix;NumStability.Analysis.CStarMatrixBridge;NumStability.Analysis.FunctionalCalculus.OperatorLog.Monotonicity	-	Mathlib.Analysis.CStarAlgebra.CStarMatrix;Mathlib.Analysis.CStarAlgebra.Classes;Mathlib.Analysis.SpecialFunctions.ContinuousFunctionalCalculus.ExpLog.Order;Mathlib.Topology.Instances.Matrix;NumStability.Analysis.CStarMatrixBridge;NumStability.Analysis.FunctionalCalculus.OperatorLog.Monotonicity
NumStability.Analysis.PseudospectralLowerBound	NumStability/Analysis/PseudospectralLowerBound.lean	bea6a28b2f392fe2dca970dc3ca30eea2c505914	NumStability.Algorithms.MatrixPowersPseudospectralCriterion;NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.LowerBounds;NumStability.Analysis.SingularValues.Basic	-	NumStability.Algorithms.MatrixPowersPseudospectralCriterion;NumStability.Analysis.LinearOperators.Pseudospectra.Perturbation.LowerBounds;NumStability.Analysis.SingularValues.Basic
NumStability.Analysis.PseudospectralPowerBound	NumStability/Analysis/PseudospectralPowerBound.lean	912e774f0d2fc129ae82378ce21d2105ab310c2e	NumStability.Analysis.DunfordResidue;NumStability.Analysis.LinearOperators.Pseudospectra.PowerBounds.Contour;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.PowerBound	-	NumStability.Analysis.DunfordResidue;NumStability.Analysis.LinearOperators.Pseudospectra.PowerBounds.Contour;NumStability.Source.Higham.Chapter18.Section02.FinitePrecisionPowers.Equations08To14.PowerBound
NumStability.Analysis.PseudospectralResolvent	NumStability/Analysis/PseudospectralResolvent.lean	7c305d48544c689d658f178edce6cd0808bd431d	Mathlib.Analysis.Normed.Algebra.Spectrum;Mathlib.Analysis.SpecificLimits.Normed;NumStability.Algorithms.MatrixPowersPseudospectralCriterion;NumStability.Analysis.LinearOperators.Pseudospectra.Resolvent.LowerBounds	-	Mathlib.Analysis.Normed.Algebra.Spectrum;Mathlib.Analysis.SpecificLimits.Normed;NumStability.Algorithms.MatrixPowersPseudospectralCriterion;NumStability.Analysis.LinearOperators.Pseudospectra.Resolvent.LowerBounds
NumStability.Analysis.ResolventFunctionalCalculus	NumStability/Analysis/ResolventFunctionalCalculus.lean	978885bbe1e2d058efe03dfe9800e74e11e4559b	Mathlib.Analysis.Calculus.FDeriv.Mul;Mathlib.Analysis.Complex.CauchyIntegral;Mathlib.Analysis.Normed.Algebra.GelfandFormula;NumStability.Analysis.FunctionalCalculus.Resolvent.Analyticity;NumStability.Analysis.PseudospectralResolvent	-	Mathlib.Analysis.Calculus.FDeriv.Mul;Mathlib.Analysis.Complex.CauchyIntegral;Mathlib.Analysis.Normed.Algebra.GelfandFormula;NumStability.Analysis.FunctionalCalculus.Resolvent.Analyticity;NumStability.Analysis.PseudospectralResolvent
NumStability.Analysis.SpijkerProjectionIntegral	NumStability/Analysis/SpijkerProjectionIntegral.lean	6bb8216505338afe2463674d52e151f4e7567e85	Mathlib.Analysis.SpecialFunctions.Complex.Arg;Mathlib.Analysis.SpecialFunctions.Integrals.Basic;Mathlib.MeasureTheory.Integral.IntervalIntegral.Periodic;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ProjectionIntegral	-	Mathlib.Analysis.SpecialFunctions.Complex.Arg;Mathlib.Analysis.SpecialFunctions.Integrals.Basic;Mathlib.MeasureTheory.Integral.IntervalIntegral.Periodic;NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.ProjectionIntegral
