path	old_import	old_occurrences	new_imports
NumStability/Algorithms/LinearSystems/Underdetermined/QR/Foundations/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/QR/Givens/BackwardError/Core.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/QR/Givens/StoredReplay/Closure.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/QR/Givens/StoredReplay/RoundedReplay.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/QR/ModifiedGramSchmidt/CorrectedRecurrence/Core.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/QR/ModifiedGramSchmidt/RoundedReplay/RoundedReplay.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/RankStability/FullRowRank/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/ForwardError/ActualOutput.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/ForwardError/Forward.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/ForwardError/RemainderBounds.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/ForwardError/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/HouseholderClosure/Closure.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/HouseholderClosure/Uniform.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/QRTransfer/EnvelopeTransfer.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/QRTransfer/QRMajorant.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/QRTransfer/Signed.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/TriangularSolves/EnvelopeTransfer.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/TriangularSolves/UnderdeterminedSolve.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Algorithms/RandNLA/LowRankApprox.lean	NumStability.Algorithms.LU.Doolittle	1	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core
NumStability/Analysis.lean	NumStability.Analysis.AccuracyTests	1	NumStability.Analysis.Approximation.SineTaylor.OddDegreeFiveError.Theorems;NumStability.Source.Higham.Chapter02.Section11.AccuracyTests.CodySineResults.Theorems
NumStability/Analysis.lean	NumStability.Analysis.CancellationOfRoundingErrors	1	NumStability.Source.Higham.Chapter01.Section14.CancellationOfRoundingErrors.Algorithm02RoundedCore
NumStability/Analysis.lean	NumStability.Analysis.DoubleRounding	1	NumStability.Source.Higham.Chapter02.Problem09.DoubleRounding.Counterexample.Results
NumStability/Analysis.lean	NumStability.Analysis.FloatingPointArithmetic	1	NumStability.Analysis.FloatingPointArithmetic.IeeeSpecialValueOperations.Results
NumStability/Analysis.lean	NumStability.Analysis.HighamChapter2ElementaryFunctions	1	NumStability.Source.Higham.Chapter02.Section10.ArctangentRange.Counterexample.Results
NumStability/Analysis.lean	NumStability.Analysis.HighamChapter2FmaDiscriminant	1	NumStability.Source.Higham.Chapter02.Section06.Discriminant.FusedMultiplyAdd.Counterexample.Results
NumStability/Analysis.lean	NumStability.Analysis.HighamChapter2Lindemann	1	NumStability.Source.Higham.Chapter02.Section10.Tablemaker.FiniteSeparation.Results.Theorems
NumStability/Analysis.lean	NumStability.Analysis.HighamChapter7	1	NumStability.Source.Higham.Chapter07.Equation17.KahanConditioningExample;NumStability.Source.Higham.Chapter07.LinearSystemsConditioning.Theorem05.RowInfinityScaleCounterexample.Theorems
NumStability/Analysis.lean	NumStability.Analysis.HighamChapter7Rectangular	1	NumStability.Source.Higham.Chapter07.LinearSystemsConditioning.Theorem03.RectangularResults
NumStability/Analysis.lean	NumStability.Analysis.IncreasingPrecision	1	NumStability.Source.Higham.Chapter01.Section13.IncreasingPrecision.BinaryStorageExamples
NumStability/Analysis.lean	NumStability.Analysis.InstabilityWithoutCancellation	1	NumStability.Source.Higham.Chapter01.Section12.InstabilityWithoutCancellation.PivotingExample
NumStability/Analysis.lean	NumStability.Analysis.Problem2_10	1	NumStability.Source.Higham.Chapter02.Problem10.DivisionRoundTrip.ExhaustiveBinary64.Results
NumStability/Analysis.lean	NumStability.Analysis.Problem2_12	1	NumStability.Source.Higham.Chapter02.Problem12.ReciprocalProduct.Results.Theorems
NumStability/Analysis.lean	NumStability.Analysis.Problem2_13	1	NumStability.Source.Higham.Chapter02.Problem13.ReciprocalProductThreshold.Results.Theorems
NumStability/Analysis.lean	NumStability.Analysis.Problem2_14	1	NumStability.Source.Higham.Chapter02.Problem14.UnitRoundoffProbe.IeeeExamples.Results
NumStability/Analysis.lean	NumStability.Analysis.Problem2_17	1	NumStability.Source.Higham.Chapter02.Section06.Discriminant.StandardModel.Counterexample.Results
NumStability/Analysis.lean	NumStability.Analysis.Problem2_20	1	NumStability.Source.Higham.Chapter02.Problem21.HypotenuseNormalization.StandardModelCounterexample.Results
NumStability/Analysis.lean	NumStability.Analysis.Problem2_24	1	NumStability.Source.Higham.Chapter02.Problem25.NonzeroEvaluation.IeeeFiniteSystems.Results
NumStability/Analysis.lean	NumStability.Analysis.Problem2_27	1	NumStability.Source.Higham.Chapter02.Problem28.IterativeDivisionTermination.UnderflowAwareConvergence.Results
NumStability/Analysis.lean	NumStability.Analysis.Problem2_3	1	NumStability.Source.Higham.Chapter02.Problem03.AdjacentPrecisionValues.Results.Theorems
